Player ID,Player Name,Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s,Iyengar_Score,Innings_Confidence,Batting_Position_Score,Lambda,Final_Position_Batting_Score
10754,Mukesh Kumar,11,2,2,2,5,4,1,,2,250.0,0,0,0,1,0,,0.7364028618842733,,0.4,
14659,Ravi Bishnoi,8,4,4,1,19,9,0,6.33,15,126.66,0,0,1,2,1,0.24899953434552818,0.9305165487771985,0.23169818734633038,0.5714285714285714,0.26590490204748884
14659,Ravi Bishnoi,9,3,3,2,20,8,1,20.0,13,153.84,0,0,0,3,0,0.2874011537035851,0.8646647167633873,0.24850563716458116,0.5,0.280009746073474
14659,Ravi Bishnoi,10,1,1,0,2,2,0,2.0,2,100.0,0,0,0,0,0,0.11932041024782956,0.486582880967408,0.05805926897660194,0.25,0.24815020848092562
587,Ravindra Jadeja,4,3,3,1,63,35,0,31.5,68,92.64,0,0,0,3,2,0.3151916947259645,0.8646647167633873,0.2725351374463981,0.5,0.2920244962143825
587,Ravindra Jadeja,5,1,1,1,45,45,1,,18,250.0,0,0,0,7,1,,0.486582880967408,,0.25,
587,Ravindra Jadeja,6,7,7,3,148,46,1,37.0,113,130.97,0,0,0,14,1,0.38288725154816333,0.9905964374485048,0.3792867473280601,0.7,0.35895487962435213
587,Ravindra Jadeja,7,18,18,8,201,44,1,20.1,144,139.58,0,0,1,12,9,0.41918844912554687,0.9999938557876467,0.41918587354269937,0.8571428571428571,0.403804156605509
587,Ravindra Jadeja,8,11,11,3,53,19,0,6.62,56,94.64,0,0,2,3,1,0.2559932635698353,0.9993466080201326,0.25582599962451874,0.7857142857142857,0.2677591114869148
587,Ravindra Jadeja,9,1,1,1,5,5,1,,6,83.33,0,0,0,0,0,,0.486582880967408,,0.25,
10896,Rinku Singh,4,2,2,1,49,48,1,49.0,24,204.16,0,0,0,2,5,0.4082909565153322,0.7364028618842733,0.300666628859358,0.4,0.3071749645331633
10896,Rinku Singh,5,7,7,2,203,68,1,40.6,118,172.03,0,1,1,20,10,0.5127773748045554,0.9905964374485048,0.5079554406855893,0.7,0.4490229649746225
10896,Rinku Singh,6,6,6,6,154,69,1,,87,177.01,0,1,0,11,10,,0.9816843611112658,,0.6666666666666666,
10896,Rinku Singh,7,2,2,1,12,11,1,12.0,11,109.09,0,0,0,0,1,0.21918235303206596,0.7364028618842733,0.1614065120473425,0.4,0.25147091780835706
10744,Rishabh Pant,2,5,5,0,71,27,0,14.2,52,136.53,0,0,0,10,3,0.35624612654030197,0.9643260066527476,0.3435374045921188,0.625,0.3315285734884618
10744,Rishabh Pant,3,14,14,3,288,42,0,26.18,226,127.43,0,0,2,28,11,0.45214061803997607,0.9999115730113401,0.452100636606672,0.8235294117647058,0.427291204555324
10744,Rishabh Pant,4,28,28,5,523,65,1,22.73,409,127.87,0,2,1,42,22,0.5460950116610608,0.9999999921806677,0.5460950073909624,0.9032258064516129,0.5233936055449693
10744,Rishabh Pant,5,16,16,5,299,52,1,27.18,243,123.04,0,1,1,26,8,0.4771400399108212,0.9999766908988571,0.4771289182053716,0.8421052631578947,0.45097917138068666
10744,Rishabh Pant,6,3,3,1,28,17,0,14.0,20,140.0,0,0,0,5,0,0.2845876982776298,0.8646647167633873,0.2460729415255711,0.5,0.278793398253969
12305,Riyan Parag,4,1,1,0,2,2,0,2.0,3,66.66,0,0,0,0,0,0.09796252182059963,0.486582880967408,0.047666886094299935,0.25,0.2455521127603501
12305,Riyan Parag,5,1,1,0,22,22,0,22.0,24,91.66,0,0,0,0,1,0.2367146198324186,0.486582880967408,0.11518128168516296,0.25,0.26243071165806586
12305,Riyan Parag,6,1,1,0,7,7,0,7.0,6,116.66,0,0,0,1,0,0.19718420503008605,0.486582880967408,0.09594645856480732,0.25,0.25762200587797696
12305,Riyan Parag,7,1,1,0,26,26,0,26.0,18,144.44,0,0,0,1,2,0.3083119403889493,0.486582880967408,0.1500193121911067,0.25,0.2711402192845518
576,Rohit Sharma,1,89,89,6,2722,121,0,32.79,1869,145.63,4,20,6,248,138,0.7994533311958052,1.0,0.7994533311958052,0.967391304347826,0.7835422613192801
576,Rohit Sharma,2,35,35,3,1028,121,1,32.12,753,136.52,1,7,4,101,46,0.6693274526067885,0.9999999999264704,0.6693274525575731,0.9210526315789473,0.6410790106437411
576,Rohit Sharma,3,3,3,1,127,60,1,63.5,89,142.69,0,2,0,9,6,0.48769889195477656,0.8646647167633873,0.4216960242778947,0.5,0.36660493963013074
576,Rohit Sharma,4,8,8,2,188,79,1,31.33,153,122.87,0,2,1,13,8,0.4768209012917157,0.9951720500061686,0.4745188338242657,0.7272727272727273,0.43006293050374783
576,Rohit Sharma,5,8,8,2,87,50,1,14.5,77,112.98,0,1,1,9,3,0.37936072801968423,0.9951720500061686,0.3775291933951817,0.7272727272727273,0.35952501019168676
576,Rohit Sharma,6,5,5,3,72,30,1,36.0,57,126.31,0,0,0,2,4,0.35085664263287963,0.9643260066527476,0.338340185097755,0.625,0.32828031130448443
576,Rohit Sharma,7,3,3,2,7,4,1,7.0,5,140.0,0,0,0,1,0,0.21213600814620925,0.8646647167633873,0.18342652139905766,0.5,0.24747018819071226
11813,Ruturaj Gaikwad,1,6,6,0,102,57,0,17.0,82,124.39,0,1,0,12,2,0.39268143025149926,0.9816843611112658,0.38548921897670113,0.6666666666666666,0.360830764311923
11813,Ruturaj Gaikwad,2,11,11,3,398,123,1,49.75,275,144.72,1,2,1,37,18,0.5667194842553361,0.9993466080201326,0.5663491942894892,0.7857142857142857,0.51174162158082
11813,Ruturaj Gaikwad,3,2,2,1,84,77,1,84.0,56,150.0,0,1,0,12,1,0.4421425028476993,0.7364028618842733,0.3255950044577212,0.4,0.3171463147725086
11813,Ruturaj Gaikwad,4,1,1,0,49,49,0,49.0,28,175.0,0,0,0,4,3,0.3909054129370516,0.486582880967408,0.19020788201266484,0.25,0.28118736173994135
8271,Sanju Samson,1,2,2,0,95,77,0,47.5,54,175.92,0,1,0,12,4,0.4703164746120734,0.7364028618842733,0.346342397895653,0.4,0.3254452721476813
8271,Sanju Samson,2,3,3,0,10,8,0,3.33,11,90.9,0,0,1,0,1,0.16995427048871536,0.8646647167633873,0.1469534611548532,0.5,0.22923365806861
8271,Sanju Samson,3,3,3,0,33,27,0,11.0,26,126.92,0,0,1,2,2,0.28654157795412943,0.8646647167633873,0.24776239234264139,0.5,0.2796381236625041
8271,Sanju Samson,4,11,11,1,213,58,0,21.3,164,129.87,0,1,1,12,10,0.45481493542475926,0.9993466080201326,0.45451776299362884,0.7857142857142857,0.423874068419787
8271,Sanju Samson,5,5,5,2,62,30,1,20.66,47,131.91,0,0,1,7,1,0.33334370157788135,0.9643260066527476,0.32145200058544354,0.625,0.3177251959842898
8271,Sanju Samson,6,1,1,0,12,12,0,12.0,12,100.0,0,0,0,0,1,0.2133592214842699,0.486582880967408,0.10381694467077933,0.25,0.25958962740446995
8271,Sanju Samson,7,1,1,0,19,19,0,19.0,24,79.16,0,0,0,1,0,0.2192502743186262,0.486582880967408,0.10668343013085164,0.25,0.26030624876948805
11195,Shivam Dube,3,2,2,0,57,54,0,28.5,37,154.05,0,1,0,3,4,0.40080761238383344,0.7364028618842733,0.29515587282445743,0.4,0.3049706621192031
11195,Shivam Dube,4,3,3,2,124,63,1,124.0,78,158.97,0,2,0,10,6,0.5208355370090348,0.8646647167633873,0.45034811208822384,0.5,0.3809309835352953
11195,Shivam Dube,5,10,10,4,166,34,0,27.66,137,121.16,0,0,0,9,9,0.4065946966912081,0.9987273661986602,0.40607725053675336,0.7692307692307693,0.38425492848574105
11195,Shivam Dube,6,7,7,2,92,27,0,18.4,71,129.57,0,0,0,5,5,0.3605368133214561,0.9905964374485048,0.357146482845271,0.7,0.34345669448639976
11195,Shivam Dube,7,2,2,1,9,9,1,9.0,9,100.0,0,0,1,0,0,0.17987953984978833,0.7364028618842733,0.1324638079398103,0.4,0.2398938361653442
9428,Shreyas Iyer,2,1,1,0,64,64,0,64.0,40,160.0,0,1,0,8,2,0.4374468760863566,0.486582880967408,0.2128541612362921,0.25,0.2868489315458482
9428,Shreyas Iyer,3,19,19,4,530,74,1,35.33,398,133.16,0,4,1,46,19,0.5879646450007858,0.9999968454561948,0.5879627902405573,0.8636363636363636,0.550265208159895
9428,Shreyas Iyer,4,10,10,3,263,62,0,37.57,175,150.28,0,2,1,15,17,0.5299777804093909,0.9987273661986602,0.5293033127720829,0.7692307692307693,0.4790442071283022
9428,Shreyas Iyer,5,13,13,3,179,67,0,17.9,155,115.48,0,1,2,13,4,0.4159686522744178,0.9998277677440391,0.4158970090550276,0.8125,0.3963251676664037
9428,Shreyas Iyer,6,4,4,1,68,37,0,22.66,43,158.13,0,0,0,8,2,0.3695322106094313,0.9305165487771985,0.3438558372782969,0.5714285714285714,0.32999498772289826
11808,Shubman Gill,1,3,3,0,20,11,0,6.66,19,105.26,0,0,0,3,0,0.22472393076185215,0.8646647167633873,0.19431085394215195,0.5,0.2529123544622594
11808,Shubman Gill,2,18,18,2,558,126,1,34.87,396,140.9,1,3,1,57,22,0.5913447292334826,0.9999938557876467,0.5913410958858921,0.8571428571428571,0.5513657757568171
7915,Suryakumar Yadav,2,4,4,0,135,76,0,33.75,80,168.75,0,1,0,12,8,0.4791125590367259,0.9305165487771985,0.44582216491066595,0.5714285714285714,0.38826146065568057
